id,email,username,password_hash,country,date_joined,subscription_id,phone_number
1,user1@example.com,user_1,hash_0001,Russia,2022-01-26,2,
2,user2@example.com,user_2,hash_0002,USA,2022-09-08,3,
3,user3@example.com,user_3,hash_0003,Germany,2024-01-25,1,+1-555-0003
4,user4@example.com,user_4,hash_0004,UK,2024-01-29,1,
5,user5@example.com,user_5,hash_0005,France,2022-03-31,3,
6,user6@example.com,user_6,hash_0006,Brazil,2022-02-02,2,+1-555-0006
7,user7@example.com,user_7,hash_0007,Japan,2022-08-12,1,
8,user8@example.com,user_8,hash_0008,Canada,2023-09-09,1,
9,user9@example.com,user_9,hash_0009,Spain,2022-07-23,1,+1-555-0009
10,user10@example.com,user_10,hash_0010,Italy,2023-12-20,3,
11,user11@example.com,user_11,hash_0011,Russia,2022-08-14,2,
12,user12@example.com,user_12,hash_0012,USA,2022-10-12,2,+1-555-0012
13,user13@example.com,user_13,hash_0013,Germany,2022-01-07,3,
14,user14@example.com,user_14,hash_0014,UK,2022-06-13,3,
15,user15@example.com,user_15,hash_0015,France,2022-12-15,2,+1-555-0015
16,user16@example.com,user_16,hash_0016,Brazil,2022-08-09,2,
17,user17@example.com,user_17,hash_0017,Japan,2022-12-11,4,
18,user18@example.com,user_18,hash_0018,Canada,2023-01-25,1,+1-555-0018
19,user19@example.com,user_19,hash_0019,Spain,2024-05-17,1,
20,user20@example.com,user_20,hash_0020,Italy,2022-09-28,2,
21,user21@example.com,user_21,hash_0021,Russia,2024-01-18,3,+1-555-0021
22,user22@example.com,user_22,hash_0022,USA,2022-05-08,2,
23,user23@example.com,user_23,hash_0023,Germany,2023-01-23,4,
24,user24@example.com,user_24,hash_0024,UK,2022-10-28,1,+1-555-0024
25,user25@example.com,user_25,hash_0025,France,2023-09-26,3,
26,user26@example.com,user_26,hash_0026,Brazil,2023-01-06,3,
27,user27@example.com,user_27,hash_0027,Japan,2023-12-23,2,+1-555-0027
28,user28@example.com,user_28,hash_0028,Canada,2023-11-09,1,
29,user29@example.com,user_29,hash_0029,Spain,2022-10-24,1,
30,user30@example.com,user_30,hash_0030,Italy,2024-05-25,4,+1-555-0030
31,user31@example.com,user_31,hash_0031,Russia,2022-04-14,1,
32,user32@example.com,user_32,hash_0032,USA,2023-04-10,2,
33,user33@example.com,user_33,hash_0033,Germany,2023-01-09,2,+1-555-0033
34,user34@example.com,user_34,hash_0034,UK,2022-12-30,1,
35,user35@example.com,user_35,hash_0035,France,2022-10-01,1,
36,user36@example.com,user_36,hash_0036,Brazil,2023-12-01,3,+1-555-0036
37,user37@example.com,user_37,hash_0037,Japan,2023-09-16,2,
38,user38@example.com,user_38,hash_0038,Canada,2023-07-01,2,
39,user39@example.com,user_39,hash_0039,Spain,2022-06-17,3,+1-555-0039
40,user40@example.com,user_40,hash_0040,Italy,2022-10-04,2,
41,user41@example.com,user_41,hash_0041,Russia,2023-10-18,4,
42,user42@example.com,user_42,hash_0042,USA,2022-08-13,2,+1-555-0042
43,user43@example.com,user_43,hash_0043,Germany,2024-05-13,2,
44,user44@example.com,user_44,hash_0044,UK,2022-02-27,3,
45,user45@example.com,user_45,hash_0045,France,2022-02-02,1,+1-555-0045
46,user46@example.com,user_46,hash_0046,Brazil,2023-02-15,3,
47,user47@example.com,user_47,hash_0047,Japan,2022-08-05,2,
48,user48@example.com,user_48,hash_0048,Canada,2023-08-04,4,+1-555-0048
49,user49@example.com,user_49,hash_0049,Spain,2022-11-19,3,
50,user50@example.com,user_50,hash_0050,Italy,2023-05-27,1,
51,user51@example.com,user_51,hash_0051,Russia,2023-10-21,2,+1-555-0051
52,user52@example.com,user_52,hash_0052,USA,2022-09-29,2,
53,user53@example.com,user_53,hash_0053,Germany,2024-02-02,1,
54,user54@example.com,user_54,hash_0054,UK,2022-09-27,2,+1-555-0054
55,user55@example.com,user_55,hash_0055,France,2023-03-15,3,
56,user56@example.com,user_56,hash_0056,Brazil,2023-02-13,3,
57,user57@example.com,user_57,hash_0057,Japan,2022-05-22,2,+1-555-0057
58,user58@example.com,user_58,hash_0058,Canada,2022-04-04,2,
59,user59@example.com,user_59,hash_0059,Spain,2024-05-31,3,
60,user60@example.com,user_60,hash_0060,Italy,2023-10-05,1,+1-555-0060
61,user61@example.com,user_61,hash_0061,Russia,2023-11-28,1,
62,user62@example.com,user_62,hash_0062,USA,2022-03-07,2,
63,user63@example.com,user_63,hash_0063,Germany,2023-09-03,2,+1-555-0063
64,user64@example.com,user_64,hash_0064,UK,2023-06-26,4,
65,user65@example.com,user_65,hash_0065,France,2023-07-21,2,
66,user66@example.com,user_66,hash_0066,Brazil,2022-01-12,3,+1-555-0066
67,user67@example.com,user_67,hash_0067,Japan,2022-04-28,2,
68,user68@example.com,user_68,hash_0068,Canada,2023-07-04,2,
69,user69@example.com,user_69,hash_0069,Spain,2024-02-27,3,+1-555-0069
70,user70@example.com,user_70,hash_0070,Italy,2022-04-25,2,
71,user71@example.com,user_71,hash_0071,Russia,2022-06-11,2,
72,user72@example.com,user_72,hash_0072,USA,2024-01-10,2,+1-555-0072
73,user73@example.com,user_73,hash_0073,Germany,2022-09-27,3,
74,user74@example.com,user_74,hash_0074,UK,2024-02-20,4,
75,user75@example.com,user_75,hash_0075,France,2022-04-19,1,+1-555-0075
76,user76@example.com,user_76,hash_0076,Brazil,2022-11-02,3,
77,user77@example.com,user_77,hash_0077,Japan,2023-06-04,3,
78,user78@example.com,user_78,hash_0078,Canada,2022-06-06,2,+1-555-0078
79,user79@example.com,user_79,hash_0079,Spain,2022-06-15,2,
80,user80@example.com,user_80,hash_0080,Italy,2024-03-08,2,
